# ACTS Test Suite Generation: Sat Feb 20 21:11:18 MSK 2016
#  "*" represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 7
# Maximum number of values per parameter: 8
# Number of configurations: 96
Value1,Value2,Value3,Value4,Even,IsLarge,Shape
1,1,1,-1,false,false,Equilateral
1,1,1,-1,false,false,Isosceles
1,59,59,-1,false,true,Isosceles
1,40,40,-1,true,false,Isosceles
1,20,20,-1,true,false,Isosceles
1,1,1,1,false,false,Square
1,59,1,59,false,true,Rectangle
1,40,-1,-1,true,false,Ellipse
1,1,-1,-1,false,false,Circle
1,-1,-1,-1,false,false,Line
99,59,59,-1,false,true,Isosceles
99,59,50,-1,true,true,Scalene
99,20,-1,-1,true,true,Ellipse
99,-1,-1,-1,false,false,Line
100,59,59,-1,true,true,Isosceles
100,59,50,-1,true,true,Scalene
100,1,-1,-1,true,true,Ellipse
100,-1,-1,-1,true,false,Line
101,59,59,-1,false,true,Isosceles
101,59,50,-1,true,true,Scalene
101,59,-1,-1,false,true,Ellipse
101,-1,-1,-1,false,true,Line
59,59,59,-1,false,true,Equilateral
59,59,1,-1,false,true,Isosceles
59,40,59,-1,true,true,Isosceles
59,59,40,-1,true,true,Isosceles
59,59,50,-1,true,true,Isosceles
59,59,20,-1,true,true,Isosceles
59,20,40,-1,true,true,Scalene
59,40,50,-1,true,true,Scalene
59,40,20,-1,true,true,Scalene
59,59,59,59,false,true,Square
59,20,59,20,true,true,Rectangle
59,20,-1,-1,true,true,Ellipse
59,59,-1,-1,false,true,Circle
59,-1,-1,-1,false,false,Line
40,40,40,-1,true,true,Equilateral
40,40,1,-1,true,false,Isosceles
40,59,59,-1,true,true,Isosceles
40,1,40,-1,true,false,Isosceles
40,40,50,-1,true,true,Isosceles
40,40,20,-1,true,false,Isosceles
40,20,59,-1,true,true,Scalene
40,20,50,-1,true,true,Scalene
40,59,20,-1,true,true,Scalene
40,40,40,40,true,true,Square
40,20,40,20,true,true,Rectangle
40,1,-1,-1,true,false,Ellipse
40,40,-1,-1,true,true,Circle
40,-1,-1,-1,true,false,Line
20,20,20,-1,true,false,Equilateral
20,20,1,-1,true,false,Isosceles
20,59,59,-1,true,true,Isosceles
20,40,40,-1,true,false,Isosceles
20,1,20,-1,true,false,Isosceles
20,40,59,-1,true,true,Scalene
20,59,40,-1,true,true,Scalene
20,40,50,-1,true,true,Scalene
20,20,20,20,true,false,Square
20,40,20,40,true,true,Rectangle
20,1,-1,-1,true,false,Ellipse
20,20,-1,-1,true,false,Circle
20,-1,-1,-1,true,false,Line
59,1,59,-1,false,true,Isosceles
59,1,59,1,false,true,Rectangle
40,1,40,1,true,false,Rectangle
20,1,20,1,true,false,Rectangle
40,59,40,59,true,true,Rectangle
20,59,20,59,true,true,Rectangle
1,40,1,40,true,false,Rectangle
59,40,59,40,true,true,Rectangle
1,20,1,20,true,false,Rectangle
59,20,59,-1,true,true,Isosceles
40,20,40,-1,true,false,Isosceles
99,1,-1,-1,false,true,Ellipse
101,1,-1,-1,false,true,Ellipse
59,1,-1,-1,false,true,Ellipse
1,59,-1,-1,false,true,Ellipse
99,59,-1,-1,false,true,Ellipse
100,59,-1,-1,true,true,Ellipse
40,59,-1,-1,true,true,Ellipse
20,59,-1,-1,true,true,Ellipse
40,59,50,-1,true,true,Scalene
20,59,50,-1,true,true,Scalene
99,40,-1,-1,true,true,Ellipse
100,40,-1,-1,true,true,Ellipse
101,40,-1,-1,true,true,Ellipse
59,40,-1,-1,true,true,Ellipse
20,40,-1,-1,true,false,Ellipse
40,40,59,-1,true,true,Isosceles
59,40,40,-1,true,true,Isosceles
1,20,-1,-1,true,false,Ellipse
100,20,-1,-1,true,true,Ellipse
101,20,-1,-1,true,true,Ellipse
40,20,-1,-1,true,false,Ellipse
59,20,50,-1,true,true,Scalene
